,year,ph_death_rate,NCR_death_rate,CAR_death_rate,R1_death_rate,R2_death_rate,R3_death_rate,R4a_death_rate,R4b_death_rate,R5_death_rate,R6_death_rate,R7_death_rate,R8_death_rate,R9_death_rate,R10_death_rate,R11_death_rate,R12_death_rate,CARAGA_death_rate,ARMM_death_rate
0,2010,528.5004897016664,578.2653893922685,398.3011589697854,691.0789634847481,556.7696644610384,563.8733772635846,549.3503744665956,456.5210183661357,579.2918655061396,652.9307260408327,607.1309877091488,493.1092950029283,389.48121899902947,463.3116942803694,530.6180085186222,369.79529006799004,437.3001419383309,38.41972396764267
1,2011,529.8704065449979,568.0695543400207,411.59792574187173,675.3999713258473,556.1863393815249,561.7679313999066,541.4845752366843,471.86952380781554,599.6661831553208,645.7299515687929,589.6279603264388,517.6482669399945,420.6547784145827,480.7132661956341,539.0363645790037,383.3930638941083,470.3250864252808,42.59077132095203
2,2012,537.3220938372525,571.2365267911954,444.6457904472981,680.3923243017034,572.2021959996804,569.6124141801415,543.767764845733,474.24591049456313,593.7824455396224,656.2837501938011,590.2358464227395,525.5695303337809,422.0337983001787,497.51272840464287,559.8795891066713,421.32569583564543,477.188727540547,46.48308408391484
3,2013,544.9141577567262,570.3200806465505,437.74606463369196,671.4709866431772,576.5820889925616,560.6645045194614,553.8291712192098,483.96363678123646,598.1728955917399,665.7911945084987,608.2318178116675,597.2769250084864,437.17015117851963,504.4879887471685,548.7496053113961,457.24426063980945,495.85977852888783,41.59929207199346
4,2014,541.3839383280375,570.6413550643083,450.3728962837234,685.7794707183843,566.9534142211941,567.016649593759,558.2067951282999,489.89774481772326,616.7071104634692,664.480892641007,610.2259104249224,502.0393416408973,421.67594707356886,488.6476069490971,536.8611551114775,429.0453817749177,523.8525306118878,44.50968415230789
5,2015,555.3369826344494,579.5845483832562,459.7897605651653,680.9168618236662,586.2853549329537,585.2272184411044,561.4575626828189,507.2493884928185,605.9436917593489,668.8852152166538,624.7610455185949,533.5405732595544,457.08155098280946,524.3280438512601,563.8576055383265,452.81866229076394,554.6820843122937,77.83082471533999
6,2016,567.3752930307478,588.046130844875,478.8487851993239,702.6144048363889,599.7145688392294,601.1571468515425,561.4283196643858,535.6851814278065,617.6434484922053,673.5003953148781,638.1759327117585,529.8276908978889,476.9244723423693,548.1873964000469,589.0500310026332,478.55928876763033,568.5652205849611,83.98340886476544
7,2017,555.4922504467011,566.800642753512,465.14882657447134,671.2824034589167,596.8562086755163,582.6370058320267,563.2707635288295,507.61271597873986,624.0524977510901,659.4193530430367,623.443602367867,520.4697019098152,463.63700117324015,540.1335942165814,582.6576597544697,461.4523592398002,561.1532209924233,77.19315909952502
8,2018,558.1031586348772,556.9768497159257,483.09777434782364,687.9911015157162,601.0534358182146,594.652084040842,556.5621095711872,527.1854540377856,604.9168915686763,664.3570021141443,614.1884517490406,547.542714804761,497.0264864211784,543.2791989064104,582.3359019538958,459.4531063739647,570.1184812293282,92.23862878049472
9,2019,577.7637138863892,576.5138614106124,510.9156244192555,677.3699720616938,620.5505500610687,614.3821970421034,584.2019331786921,540.3917648938624,629.3937574179786,687.8484530715939,640.915778051509,558.5274513368831,526.903593049944,553.6030300272847,621.5642328785291,484.5032161735833,600.3278722238463,71.4990420836529
10,2020,564.4247822725077,611.061948954034,472.41359090753195,661.1511292293571,556.4089967004224,582.7322015982501,590.996032396233,506.794159992617,567.1654736122713,651.5579768950874,634.3685835170489,537.5408791066515,506.05893420176426,527.899756251232,591.018224038433,470.1280667065588,574.1145737419041,110.58213149568428
11,2021,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
12,2022,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
13,2023,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
14,2024,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
15,2025,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
16,2026,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
17,2027,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
18,2028,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
19,2029,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
20,2030,550.0,576.0,455.0,680.0,580.0,580.0,560.0,500.0,603.0,662.0,616.0,533.0,456.0,515.0,567.0,442.0,530.0,66.0
